taxonomy	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6
Fungi;Ascomycota;Ascomycota_class_incertae_sedis;Ascomycota_order_incertae_sedis;Ascomycota_family_incertae_sedis;Acremonium	102	119	58	38	215	104
Fungi;Ascomycota;Ascomycota_class_incertae_sedis;Ascomycota_order_incertae_sedis;Ascomycota_family_incertae_sedis;Cephaliophora	NA	NA	10	NA	NA	NA
Fungi;Ascomycota;Ascomycota_class_incertae_sedis;Ascomycota_order_incertae_sedis;Ascomycota_family_incertae_sedis;Coniosporium	79	215	87	415	38	143
Fungi;Ascomycota;Ascomycota_class_incertae_sedis;Ascomycota_order_incertae_sedis;Ascomycota_family_incertae_sedis;Engyodontium	0	6	6	NA	0	1
Fungi;Ascomycota;Ascomycota_class_incertae_sedis;Ascomycota_order_incertae_sedis;Ascomycota_family_incertae_sedis;Harzia	1	0	0	NA	30	4
Fungi;Ascomycota;Ascomycota_class_incertae_sedis;Ascomycota_order_incertae_sedis;Ascomycota_family_incertae_sedis;Humicola	1	3	NA	NA	2	1
Fungi;Ascomycota;Ascomycota_class_incertae_sedis;Ascomycota_order_incertae_sedis;Ascomycota_family_incertae_sedis;Ochroconis	0	20	1	0	7	9
Fungi;Ascomycota;Ascomycota_class_incertae_sedis;Ascomycota_order_incertae_sedis;Ascomycota_family_incertae_sedis;Other	2	0	1	8	2	3
Fungi;Ascomycota;Ascomycota_class_incertae_sedis;Ascomycota_order_incertae_sedis;Ascomycota_family_incertae_sedis;Peltaster	4	33	1	10	0	0
Fungi;Ascomycota;Ascomycota_class_incertae_sedis;Ascomycota_order_incertae_sedis;Ascomycota_family_incertae_sedis;Phaeomoniella	0	16	4	8	4	49
Fungi;Ascomycota;Ascomycota_class_incertae_sedis;Ascomycota_order_incertae_sedis;Ascomycota_family_incertae_sedis;Phialemonium	4	11	14	15	90	133
Fungi;Ascomycota;Ascomycota_class_incertae_sedis;Ascomycota_order_incertae_sedis;Ascomycota_family_incertae_sedis;Rhizosphaera	0	0	0	3	1	0
